instrument_id	symbol	venue	asset_class	currency	tick_size	lot_size
I001	AAPL	NASDAQ	EQUITY	USD	0.01	1
I002	MSFT	NASDAQ	EQUITY	USD	0.01	1
I003	GOOGL	NASDAQ	EQUITY	USD	0.01	1
I004	AMZN	NASDAQ	EQUITY	USD	0.01	1
I005	TSLA	NASDAQ	EQUITY	USD	0.01	1
I006	JPM	NYSE	EQUITY	USD	0.01	1
I007	GS	NYSE	EQUITY	USD	0.01	1
I008	BAC	NYSE	EQUITY	USD	0.01	1
I009	WFC	NYSE	EQUITY	USD	0.01	1
I010	C	NYSE	EQUITY	USD	0.01	1
I011	EURUSD	CME	FX	USD	0.00001	1000
I012	GBPUSD	CME	FX	USD	0.00001	1000
I013	USDJPY	CME	FX	JPY	0.001	1000
I014	CL	NYMEX	COMMODITY	USD	0.01	1000
I015	GC	COMEX	COMMODITY	USD	0.10	100
