order_id,instrument_id,symbol,side,quantity,order_type,timestamp
O13001,I006,JPM,BUY,50,MARKET,2024-01-15T14:50:35.764Z
O13002,I007,GS,BUY,100,LIMIT,2024-01-15T14:08:26.772Z
O13003,I005,TSLA,SELL,500,MARKET,2024-01-15T13:54:39.809Z
O13004,I011,EURUSD,BUY,50,STOP,2024-01-15T14:03:44.465Z
O13005,I007,GS,SELL,500,MARKET,2024-01-15T16:24:21.962Z
O13006,I007,GS,BUY,25,MARKET,2024-01-15T13:36:50.634Z
O13007,I007,GS,BUY,10,STOP,2024-01-15T15:36:46.931Z
O13008,I006,JPM,SELL,10,LIMIT,2024-01-15T13:42:22.968Z
O13009,I001,AAPL,SELL,100,LIMIT,2024-01-15T13:56:32.240Z
O13010,I003,GOOGL,SELL,100,MARKET,2024-01-15T15:57:30.429Z
O13011,I003,GOOGL,SELL,10,MARKET,2024-01-15T16:18:06.417Z
O13012,I006,JPM,BUY,50,LIMIT,2024-01-15T15:31:04.455Z
O13013,I005,TSLA,SELL,10,STOP,2024-01-15T15:10:18.557Z
O13014,I007,GS,BUY,100,MARKET,2024-01-15T14:21:49.991Z
O13015,I002,MSFT,SELL,10,STOP,2024-01-15T14:27:55.657Z
O13016,I001,AAPL,BUY,50,LIMIT,2024-01-15T14:04:23.805Z
O13017,I005,TSLA,BUY,500,LIMIT,2024-01-15T16:10:07.221Z
O13018,I005,TSLA,SELL,25,STOP,2024-01-15T13:30:46.283Z
O13019,I003,GOOGL,BUY,500,MARKET,2024-01-15T14:17:38.112Z
O13020,I001,AAPL,BUY,10,MARKET,2024-01-15T14:34:58.602Z
O13021,I007,GS,BUY,25,MARKET,2024-01-15T13:44:18.129Z
O13022,I011,EURUSD,BUY,10,MARKET,2024-01-15T15:32:24.796Z
O13023,I007,GS,BUY,100,STOP,2024-01-15T14:30:29.968Z
O13024,I001,AAPL,SELL,100,STOP,2024-01-15T13:38:30.062Z
O13025,I014,CL,SELL,100,STOP,2024-01-15T13:59:28.502Z
O13026,I014,CL,BUY,10,MARKET,2024-01-15T16:16:06.151Z
O13027,I002,MSFT,BUY,50,STOP,2024-01-15T16:22:52.599Z
O13028,I007,GS,SELL,500,STOP,2024-01-15T14:50:31.464Z
O13029,I011,EURUSD,BUY,10,STOP,2024-01-15T16:27:44.898Z
O13030,I005,TSLA,SELL,100,LIMIT,2024-01-15T15:22:59.347Z
O13031,I014,CL,SELL,100,STOP,2024-01-15T13:55:57.320Z
O13032,I011,EURUSD,SELL,50,MARKET,2024-01-15T14:11:40.703Z
O13033,I014,CL,BUY,10,LIMIT,2024-01-15T13:55:27.442Z
O13034,I002,MSFT,SELL,25,STOP,2024-01-15T13:46:22.600Z
O13035,I007,GS,BUY,100,MARKET,2024-01-15T15:25:29.888Z
