order_id,instrument_id,symbol,side,quantity,order_type,timestamp
O9001,I003,GOOGL,SELL,100,STOP,2024-01-15T11:45:17.295Z
O9002,I011,EURUSD,BUY,100,LIMIT,2024-01-15T10:55:53.258Z
O9003,I007,GS,BUY,100,STOP,2024-01-15T09:30:18.673Z
O9004,I014,CL,SELL,10,LIMIT,2024-01-15T11:51:34.370Z
O9005,I014,CL,SELL,10,LIMIT,2024-01-15T10:42:55.562Z
O9006,I003,GOOGL,SELL,100,STOP,2024-01-15T11:42:21.124Z
O9007,I001,AAPL,BUY,25,MARKET,2024-01-15T12:00:24.014Z
O9008,I011,EURUSD,BUY,25,LIMIT,2024-01-15T11:36:00.969Z
O9009,I002,MSFT,BUY,100,STOP,2024-01-15T10:49:41.521Z
O9010,I006,JPM,SELL,100,MARKET,2024-01-15T10:36:33.467Z
O9011,I003,GOOGL,SELL,25,STOP,2024-01-15T11:48:47.764Z
O9012,I003,GOOGL,BUY,50,MARKET,2024-01-15T11:02:48.956Z
O9013,I006,JPM,BUY,50,STOP,2024-01-15T10:51:31.857Z
O9014,I014,CL,BUY,100,STOP,2024-01-15T11:42:15.353Z
O9015,I007,GS,SELL,100,MARKET,2024-01-15T10:21:30.714Z
O9016,I005,TSLA,SELL,25,MARKET,2024-01-15T09:41:55.325Z
O9017,I014,CL,SELL,100,STOP,2024-01-15T12:28:02.155Z
O9018,I014,CL,BUY,25,STOP,2024-01-15T12:11:09.339Z
O9019,I002,MSFT,SELL,10,STOP,2024-01-15T11:34:46.015Z
O9020,I003,GOOGL,SELL,25,LIMIT,2024-01-15T11:38:12.800Z
O9021,I006,JPM,SELL,500,STOP,2024-01-15T11:18:32.665Z
O9022,I002,MSFT,SELL,500,MARKET,2024-01-15T10:56:28.641Z
O9023,I014,CL,BUY,500,LIMIT,2024-01-15T10:34:06.646Z
O9024,I006,JPM,BUY,10,MARKET,2024-01-15T09:56:52.778Z
O9025,I002,MSFT,SELL,25,STOP,2024-01-15T10:51:46.925Z
O9026,I001,AAPL,BUY,50,LIMIT,2024-01-15T10:50:06.367Z
O9027,I007,GS,SELL,25,LIMIT,2024-01-15T11:55:02.421Z
O9028,I003,GOOGL,BUY,25,LIMIT,2024-01-15T12:16:25.891Z
O9029,I011,EURUSD,BUY,100,STOP,2024-01-15T10:09:04.237Z
O9030,I014,CL,SELL,100,MARKET,2024-01-15T09:32:33.920Z
O9031,I014,CL,SELL,500,LIMIT,2024-01-15T09:50:10.452Z
O9032,I007,GS,SELL,100,STOP,2024-01-15T10:38:17.467Z
O9033,I006,JPM,BUY,100,MARKET,2024-01-15T09:59:07.242Z
O9034,I011,EURUSD,SELL,500,MARKET,2024-01-15T10:50:37.022Z
O9035,I011,EURUSD,SELL,10,STOP,2024-01-15T09:43:23.932Z
O9036,I014,CL,SELL,25,STOP,2024-01-15T11:06:12.224Z
O9037,I005,TSLA,SELL,25,STOP,2024-01-15T09:56:31.925Z
O9038,I001,AAPL,SELL,100,LIMIT,2024-01-15T12:08:15.373Z
O9039,I003,GOOGL,BUY,50,MARKET,2024-01-15T11:23:27.179Z
O9040,I005,TSLA,BUY,500,MARKET,2024-01-15T11:54:57.513Z
