instrument_id,symbol,bid,ask,spread,timestamp
I008,BAC,33.9700,34.0368,0.0668,2024-01-15T14:55:11.324Z
I013,USDJPY,149.9900,150.1774,0.1874,2024-01-15T14:05:40.436Z
I014,CL,73.3800,73.4487,0.0687,2024-01-15T10:56:55.761Z
I014,CL,72.4400,72.4830,0.0430,2024-01-15T11:45:01.860Z
I011,EURUSD,1.0800,1.0817,0.0017,2024-01-15T13:54:39.641Z
I004,AMZN,184.3400,184.3859,0.0459,2024-01-15T12:06:02.240Z
I005,TSLA,244.0900,244.5307,0.4407,2024-01-15T10:14:00.141Z
I003,GOOGL,140.6600,140.8611,0.2011,2024-01-15T15:55:47.219Z
I002,MSFT,404.1700,404.4653,0.2953,2024-01-15T13:44:27.425Z
I001,AAPL,176.9300,177.0903,0.1603,2024-01-15T14:48:59.968Z
I012,GBPUSD,1.2500,1.2522,0.0022,2024-01-15T14:44:24.389Z
I008,BAC,33.3000,33.3260,0.0260,2024-01-15T13:02:59.873Z
I015,GC,2073.1200,2074.9529,1.8329,2024-01-15T14:28:15.819Z
I010,C,53.7300,53.7846,0.0546,2024-01-15T11:59:03.446Z
I008,BAC,33.3200,33.3450,0.0250,2024-01-15T15:40:54.817Z
I007,GS,387.6900,388.3435,0.6535,2024-01-15T10:39:42.637Z
I009,WFC,48.5000,48.5418,0.0418,2024-01-15T14:38:13.678Z
I001,AAPL,176.2700,176.4332,0.1632,2024-01-15T13:42:08.186Z
I001,AAPL,177.2200,177.3489,0.1289,2024-01-15T13:38:19.334Z
I006,JPM,196.9300,197.0903,0.1603,2024-01-15T13:20:13.258Z
I014,CL,71.5900,71.5999,0.0099,2024-01-15T14:24:35.053Z
I006,JPM,193.7800,193.8250,0.0450,2024-01-15T15:25:56.041Z
I013,USDJPY,146.1600,146.2445,0.0845,2024-01-15T09:41:07.636Z
I003,GOOGL,140.6900,140.8318,0.1418,2024-01-15T10:32:28.577Z
I004,AMZN,185.4100,185.5189,0.1089,2024-01-15T12:51:27.171Z
I010,C,53.2700,53.3508,0.0808,2024-01-15T10:32:33.796Z
I014,CL,71.7700,71.8201,0.0501,2024-01-15T14:46:02.026Z
I015,GC,2033.7600,2036.5967,2.8367,2024-01-15T12:54:58.406Z
I012,GBPUSD,1.2600,1.2616,0.0016,2024-01-15T15:12:33.248Z
I002,MSFT,407.6000,407.8727,0.2727,2024-01-15T15:43:41.614Z
I013,USDJPY,146.5600,146.8519,0.2919,2024-01-15T09:52:25.355Z
I009,WFC,49.0900,49.1296,0.0396,2024-01-15T14:06:19.663Z
I006,JPM,192.5400,192.7155,0.1755,2024-01-15T13:57:42.108Z
I007,GS,390.4200,390.9236,0.5036,2024-01-15T13:41:04.724Z
I003,GOOGL,141.5300,141.7419,0.2119,2024-01-15T15:25:14.276Z
