trade_id,instrument_id,symbol,price,volume,side,timestamp
T0001,I011,EURUSD,1.07,500,SELL,2024-01-15T11:43:44.228Z
T0002,I003,GOOGL,143.14,500,BUY,2024-01-15T14:52:29.432Z
T0003,I001,AAPL,175.14,25,BUY,2024-01-15T14:05:59.616Z
T0004,I001,AAPL,178.94,500,SELL,2024-01-15T11:30:23.459Z
T0005,I010,C,52.63,1000,BUY,2024-01-15T10:57:11.714Z
T0006,I007,GS,382.64,25,BUY,2024-01-15T12:33:49.104Z
T0007,I002,MSFT,403.25,50,SELL,2024-01-15T14:59:42.270Z
T0008,I013,USDJPY,145.54,100,BUY,2024-01-15T12:56:43.080Z
T0009,I009,WFC,48.79,500,SELL,2024-01-15T14:45:18.196Z
T0010,I012,GBPUSD,1.25,500,BUY,2024-01-15T12:08:02.081Z
T0011,I014,CL,71.73,10,SELL,2024-01-15T12:01:48.464Z
T0012,I011,EURUSD,1.10,25,SELL,2024-01-15T12:44:01.214Z
T0013,I011,EURUSD,1.08,500,BUY,2024-01-15T15:02:40.650Z
T0014,I003,GOOGL,141.99,25,BUY,2024-01-15T13:42:27.388Z
T0015,I005,TSLA,250.10,500,BUY,2024-01-15T15:43:53.332Z
T0016,I014,CL,73.28,10,BUY,2024-01-15T09:47:31.824Z
T0017,I006,JPM,194.63,10,BUY,2024-01-15T14:39:45.897Z
T0018,I012,GBPUSD,1.26,500,SELL,2024-01-15T13:06:04.905Z
T0019,I015,GC,2056.99,25,SELL,2024-01-15T10:46:15.252Z
T0020,I012,GBPUSD,1.27,50,SELL,2024-01-15T14:48:41.408Z
T0021,I006,JPM,193.21,25,SELL,2024-01-15T10:19:38.773Z
T0022,I001,AAPL,181.08,25,BUY,2024-01-15T15:41:38.432Z
T0023,I010,C,52.17,100,SELL,2024-01-15T14:18:58.257Z
T0024,I009,WFC,49.91,10,BUY,2024-01-15T15:42:18.906Z
T0025,I009,WFC,49.69,1000,SELL,2024-01-15T10:30:55.300Z
T0026,I007,GS,379.83,10,SELL,2024-01-15T14:03:23.780Z
T0027,I003,GOOGL,141.84,10,SELL,2024-01-15T15:18:57.519Z
T0028,I010,C,52.46,50,BUY,2024-01-15T14:24:34.976Z
T0029,I013,USDJPY,150.76,10,SELL,2024-01-15T13:56:50.019Z
T0030,I002,MSFT,412.15,1000,SELL,2024-01-15T11:40:46.059Z
T0031,I004,AMZN,188.41,10,BUY,2024-01-15T13:55:24.835Z
T0032,I002,MSFT,412.95,200,BUY,2024-01-15T10:40:07.675Z
T0033,I008,BAC,34.40,25,SELL,2024-01-15T14:18:10.893Z
T0034,I010,C,52.94,25,BUY,2024-01-15T15:59:21.319Z
T0035,I007,GS,392.73,500,SELL,2024-01-15T13:29:15.921Z
T0036,I009,WFC,49.10,25,BUY,2024-01-15T10:04:58.346Z
T0037,I001,AAPL,179.13,25,BUY,2024-01-15T09:33:55.072Z
T0038,I012,GBPUSD,1.27,25,BUY,2024-01-15T09:47:09.880Z
T0039,I006,JPM,192.05,25,SELL,2024-01-15T15:35:21.497Z
T0040,I004,AMZN,185.89,500,SELL,2024-01-15T11:42:42.803Z
T0041,I008,BAC,34.22,25,BUY,2024-01-15T10:22:56.674Z
T0042,I007,GS,382.86,100,SELL,2024-01-15T09:59:35.689Z
T0043,I011,EURUSD,1.11,10,BUY,2024-01-15T13:09:53.745Z
T0044,I006,JPM,197.75,10,BUY,2024-01-15T11:14:38.194Z
T0045,I009,WFC,49.10,100,BUY,2024-01-15T12:02:07.473Z
T0046,I004,AMZN,188.38,10,SELL,2024-01-15T14:30:33.100Z
T0047,I001,AAPL,179.59,200,BUY,2024-01-15T10:20:56.948Z
T0048,I013,USDJPY,150.32,25,SELL,2024-01-15T13:55:13.492Z
T0049,I004,AMZN,188.31,10,BUY,2024-01-15T12:56:58.002Z
T0050,I007,GS,381.48,1000,SELL,2024-01-15T12:05:47.433Z
T0051,I012,GBPUSD,1.29,1000,SELL,2024-01-15T10:54:32.194Z
T0052,I005,TSLA,242.53,10,BUY,2024-01-15T12:21:16.058Z
T0053,I001,AAPL,179.10,200,BUY,2024-01-15T10:01:03.983Z
T0054,I009,WFC,48.37,25,BUY,2024-01-15T14:54:58.069Z
T0055,I011,EURUSD,1.10,100,BUY,2024-01-15T14:41:07.252Z
T0056,I010,C,53.30,200,BUY,2024-01-15T13:18:57.673Z
T0057,I010,C,53.24,50,SELL,2024-01-15T11:21:33.685Z
T0058,I012,GBPUSD,1.26,50,SELL,2024-01-15T10:41:28.687Z
T0059,I011,EURUSD,1.08,50,BUY,2024-01-15T09:35:05.469Z
T0060,I010,C,54.16,10,BUY,2024-01-15T14:23:37.218Z
T0061,I009,WFC,48.74,50,BUY,2024-01-15T11:43:24.378Z
T0062,I005,TSLA,241.94,1000,SELL,2024-01-15T15:04:03.826Z
T0063,I011,EURUSD,1.09,500,SELL,2024-01-15T15:32:17.106Z
T0064,I015,GC,2015.38,10,BUY,2024-01-15T14:32:08.159Z
T0065,I005,TSLA,243.16,25,SELL,2024-01-15T11:21:11.703Z
T0066,I011,EURUSD,1.10,200,SELL,2024-01-15T11:47:08.927Z
T0067,I015,GC,2073.62,10,SELL,2024-01-15T12:01:06.045Z
T0068,I001,AAPL,177.31,25,SELL,2024-01-15T10:58:14.759Z
T0069,I008,BAC,33.87,100,BUY,2024-01-15T10:31:05.077Z
T0070,I015,GC,2060.93,25,BUY,2024-01-15T12:51:38.596Z
T0071,I009,WFC,48.51,25,BUY,2024-01-15T12:18:21.373Z
T0072,I015,GC,2080.73,1000,BUY,2024-01-15T12:45:24.215Z
T0073,I011,EURUSD,1.08,10,SELL,2024-01-15T14:35:46.905Z
T0074,I014,CL,72.23,200,BUY,2024-01-15T11:39:17.885Z
T0075,I003,GOOGL,144.50,1000,BUY,2024-01-15T13:15:10.025Z
T0076,I003,GOOGL,143.14,50,SELL,2024-01-15T15:35:51.884Z
T0077,I012,GBPUSD,1.28,50,BUY,2024-01-15T15:52:59.110Z
T0078,I007,GS,390.83,1000,SELL,2024-01-15T11:31:28.204Z
T0079,I014,CL,73.71,50,SELL,2024-01-15T11:34:17.228Z
T0080,I001,AAPL,179.64,100,SELL,2024-01-15T12:02:09.885Z
T0081,I002,MSFT,412.77,50,SELL,2024-01-15T15:20:20.521Z
T0082,I007,GS,387.87,1000,SELL,2024-01-15T09:45:04.118Z
T0083,I015,GC,2083.78,25,SELL,2024-01-15T09:50:53.111Z
T0084,I010,C,52.96,500,SELL,2024-01-15T13:28:19.620Z
T0085,I009,WFC,48.44,200,BUY,2024-01-15T11:49:06.045Z
T0086,I012,GBPUSD,1.26,200,BUY,2024-01-15T12:48:54.441Z
T0087,I002,MSFT,412.48,50,SELL,2024-01-15T15:32:17.868Z
T0088,I002,MSFT,408.76,50,SELL,2024-01-15T15:34:12.418Z
T0089,I006,JPM,194.64,50,BUY,2024-01-15T11:14:46.430Z
T0090,I011,EURUSD,1.11,500,BUY,2024-01-15T15:06:09.582Z
T0091,I005,TSLA,244.38,1000,BUY,2024-01-15T12:15:57.293Z
T0092,I004,AMZN,185.08,200,SELL,2024-01-15T13:43:56.452Z
T0093,I008,BAC,34.04,200,SELL,2024-01-15T11:02:40.674Z
